Code,County,Population
6001,Alameda,1661584
6003,Alpine,1159
6005,Amador,39023
6007,Butte,223344
6009,Calaveras,45828
6011,Colusa,21491
6013,Contra Costa,1147788
6015,Del Norte,27692
6017,El Dorado,190345
6019,Fresno,990204
6021,Glenn,28060
6023,Humboldt,136101
6025,Imperial,180580
6027,Inyo,17930
6029,Kern,892458
6031,Kings,151090
6033,Lake,64276
6035,Lassen,30600
6037,Los Angeles,10040682
6039,Madera,155925
6041,Marin,259441
6043,Mariposa,17319
6045,Mendocino,87110
6047,Merced,273661
6049,Modoc,8853
6051,Mono,14395
6053,Monterey,432977
6055,Napa,138572
6057,Nevada,99417
6059,Orange,3170345
6061,Placer,391799
6063,Plumas,18844
6065,Riverside,2437864
6067,Sacramento,1537948
6069,San Benito,61547
6071,San Bernardino,2162532
6073,San Diego,3323970
6075,San Francisco,874784
6077,San Joaquin,751615
6079,San Luis Obispo,282517
6081,San Mateo,765623
6083,Santa Barbara,444895
6085,Santa Clara,1924379
6087,Santa Cruz,273170
6089,Shasta,179267
6091,Sierra,2898
6093,Siskiyou,43516
6095,Solano,444538
6097,Sonoma,496801
6099,Stanislaus,546235
6101,Sutter,96315
6103,Tehama,64176
6105,Trinity,12541
6107,Tulare,463955
6109,Tuolumne,54147
6111,Ventura,845599
6113,Yolo,218774
6115,Yuba,77524